Parameter,Value,Num llamas,Num Predators,Average Sheep Alive
Cohesion,0.0,1.0,1.0,99.2
Cohesion,0.0,1.0,2.0,95.6
Cohesion,0.0,1.0,3.0,94.4
Cohesion,0.0,1.0,4.0,93.0
Cohesion,0.0,1.0,5.0,86.4
Cohesion,0.0,2.0,1.0,99.6
Cohesion,0.0,2.0,2.0,97.4
Cohesion,0.0,2.0,3.0,96.4
Cohesion,0.0,2.0,4.0,93.0
Cohesion,0.0,2.0,5.0,92.4
Cohesion,0.0,3.0,1.0,99.8
Cohesion,0.0,3.0,2.0,99.0
Cohesion,0.0,3.0,3.0,96.2
Cohesion,0.0,3.0,4.0,93.6
Cohesion,0.0,3.0,5.0,93.0
Cohesion,0.0,4.0,1.0,100.0
Cohesion,0.0,4.0,2.0,98.6
Cohesion,0.0,4.0,3.0,96.8
Cohesion,0.0,4.0,4.0,94.6
Cohesion,0.0,4.0,5.0,89.2
Cohesion,0.0,5.0,1.0,99.8
Cohesion,0.0,5.0,2.0,99.8
Cohesion,0.0,5.0,3.0,97.4
Cohesion,0.0,5.0,4.0,94.8
Cohesion,0.0,5.0,5.0,92.8
Cohesion,1.0,1.0,1.0,99.8
Cohesion,1.0,1.0,2.0,97.0
Cohesion,1.0,1.0,3.0,95.0
Cohesion,1.0,1.0,4.0,92.8
Cohesion,1.0,1.0,5.0,91.2
Cohesion,1.0,2.0,1.0,100.0
Cohesion,1.0,2.0,2.0,98.6
Cohesion,1.0,2.0,3.0,96.2
Cohesion,1.0,2.0,4.0,91.0
Cohesion,1.0,2.0,5.0,89.8
Cohesion,1.0,3.0,1.0,100.0
Cohesion,1.0,3.0,2.0,98.8
Cohesion,1.0,3.0,3.0,96.6
Cohesion,1.0,3.0,4.0,94.4
Cohesion,1.0,3.0,5.0,91.6
Cohesion,1.0,4.0,1.0,100.0
Cohesion,1.0,4.0,2.0,99.0
Cohesion,1.0,4.0,3.0,98.0
Cohesion,1.0,4.0,4.0,95.2
Cohesion,1.0,4.0,5.0,93.6
Cohesion,1.0,5.0,1.0,100.0
Cohesion,1.0,5.0,2.0,99.2
Cohesion,1.0,5.0,3.0,98.6
Cohesion,1.0,5.0,4.0,96.2
Cohesion,1.0,5.0,5.0,93.2
Cohesion,2.0,1.0,1.0,100.0
Cohesion,2.0,1.0,2.0,97.0
Cohesion,2.0,1.0,3.0,93.4
Cohesion,2.0,1.0,4.0,89.6
Cohesion,2.0,1.0,5.0,87.6
Cohesion,2.0,2.0,1.0,99.6
Cohesion,2.0,2.0,2.0,97.4
Cohesion,2.0,2.0,3.0,96.6
Cohesion,2.0,2.0,4.0,93.2
Cohesion,2.0,2.0,5.0,89.0
Cohesion,2.0,3.0,1.0,99.8
Cohesion,2.0,3.0,2.0,98.4
