Parameter,Value,Num llamas,Num Predators,Average Sheep Alive
Water_Bodies,0.0,1.0,1.0,99.4
Water_Bodies,0.0,1.0,2.0,97.8
Water_Bodies,0.0,1.0,3.0,93.8
Water_Bodies,0.0,1.0,4.0,88.8
Water_Bodies,0.0,1.0,5.0,88.0
Water_Bodies,0.0,2.0,1.0,99.6
Water_Bodies,0.0,2.0,2.0,98.6
Water_Bodies,0.0,2.0,3.0,93.6
Water_Bodies,0.0,2.0,4.0,92.8
Water_Bodies,0.0,2.0,5.0,89.2
Water_Bodies,0.0,3.0,1.0,99.6
Water_Bodies,0.0,3.0,2.0,98.6
Water_Bodies,0.0,3.0,3.0,96.6
Water_Bodies,0.0,3.0,4.0,95.2
Water_Bodies,0.0,3.0,5.0,90.75
Water_Bodies,0.0,4.0,1.0,100.0
Water_Bodies,0.0,4.0,2.0,98.4
Water_Bodies,0.0,4.0,3.0,96.6
Water_Bodies,0.0,4.0,4.0,95.6
Water_Bodies,0.0,4.0,5.0,92.0
Water_Bodies,0.0,5.0,1.0,100.0
Water_Bodies,0.0,5.0,2.0,99.0
Water_Bodies,0.0,5.0,3.0,97.4
Water_Bodies,0.0,5.0,4.0,94.8
Water_Bodies,0.0,5.0,5.0,95.0
Water_Bodies,1.0,1.0,1.0,99.8
Water_Bodies,1.0,1.0,2.0,97.2
Water_Bodies,1.0,1.0,3.0,91.2
Water_Bodies,1.0,1.0,4.0,88.8
Water_Bodies,1.0,1.0,5.0,83.8
Water_Bodies,1.0,2.0,1.0,99.2
Water_Bodies,1.0,2.0,2.0,96.8
Water_Bodies,1.0,2.0,3.0,94.0
Water_Bodies,1.0,2.0,4.0,92.6
Water_Bodies,1.0,2.0,5.0,89.4
Water_Bodies,1.0,3.0,1.0,99.4
Water_Bodies,1.0,3.0,2.0,98.2
Water_Bodies,1.0,3.0,3.0,94.6
Water_Bodies,1.0,3.0,4.0,94.6
Water_Bodies,1.0,3.0,5.0,94.2
Water_Bodies,1.0,4.0,1.0,99.8
Water_Bodies,1.0,4.0,2.0,98.4
Water_Bodies,1.0,4.0,3.0,96.0
Water_Bodies,1.0,4.0,4.0,95.8
Water_Bodies,1.0,4.0,5.0,93.0
Water_Bodies,1.0,5.0,1.0,99.4
Water_Bodies,1.0,5.0,2.0,98.6
Water_Bodies,1.0,5.0,3.0,97.4
Water_Bodies,1.0,5.0,4.0,96.4
Water_Bodies,1.0,5.0,5.0,94.8
Water_Bodies,2.0,1.0,1.0,97.4
Water_Bodies,2.0,1.0,2.0,95.6
Water_Bodies,2.0,1.0,3.0,94.0
Water_Bodies,2.0,1.0,4.0,90.0
Water_Bodies,2.0,1.0,5.0,89.0
Water_Bodies,2.0,2.0,1.0,99.6
Water_Bodies,2.0,2.0,2.0,98.2
Water_Bodies,2.0,2.0,3.0,94.0
Water_Bodies,2.0,2.0,4.0,93.2
Water_Bodies,2.0,2.0,5.0,89.4
Water_Bodies,2.0,3.0,1.0,99.0
Water_Bodies,2.0,3.0,2.0,99.6
Water_Bodies,2.0,3.0,3.0,96.0
Water_Bodies,2.0,3.0,4.0,93.0
Water_Bodies,2.0,3.0,5.0,91.2
Water_Bodies,2.0,4.0,1.0,100.0
Water_Bodies,2.0,4.0,2.0,99.2
Water_Bodies,2.0,4.0,3.0,98.2
Water_Bodies,2.0,4.0,4.0,94.6
Water_Bodies,2.0,4.0,5.0,92.6
Water_Bodies,2.0,5.0,1.0,99.8
Water_Bodies,2.0,5.0,2.0,99.6
Water_Bodies,2.0,5.0,3.0,98.0
Water_Bodies,2.0,5.0,4.0,95.6
Water_Bodies,2.0,5.0,5.0,95.6
Water_Bodies,3.0,1.0,1.0,98.2
Water_Bodies,3.0,1.0,2.0,97.4
Water_Bodies,3.0,1.0,3.0,92.6
Water_Bodies,3.0,1.0,4.0,88.4
Water_Bodies,3.0,1.0,5.0,89.0
Water_Bodies,3.0,2.0,1.0,99.6
Water_Bodies,3.0,2.0,2.0,96.0
Water_Bodies,3.0,2.0,3.0,96.4
Water_Bodies,3.0,2.0,4.0,91.4
Water_Bodies,3.0,2.0,5.0,85.4
Water_Bodies,3.0,3.0,1.0,99.6
Water_Bodies,3.0,3.0,2.0,99.2
Water_Bodies,3.0,3.0,3.0,97.2
Water_Bodies,3.0,3.0,4.0,92.0
Water_Bodies,3.0,3.0,5.0,93.6
Water_Bodies,3.0,4.0,1.0,99.8
Water_Bodies,3.0,4.0,2.0,97.8
Water_Bodies,3.0,4.0,3.0,99.2
Water_Bodies,3.0,4.0,4.0,96.2
Water_Bodies,3.0,4.0,5.0,96.4
Water_Bodies,3.0,5.0,1.0,99.4
Water_Bodies,3.0,5.0,2.0,98.8
Water_Bodies,3.0,5.0,3.0,97.2
Water_Bodies,3.0,5.0,4.0,94.0
Water_Bodies,3.0,5.0,5.0,96.0
