Parameter,Value,Num llamas,Num Preds,Run,SheepLeft
Water_Bodies,0.0,1.0,1.0,1,99
Water_Bodies,0.0,1.0,1.0,2,99
Water_Bodies,0.0,1.0,1.0,3,100
Water_Bodies,0.0,1.0,1.0,4,100
Water_Bodies,0.0,1.0,1.0,5,99
Water_Bodies,0.0,2.0,1.0,1,100
Water_Bodies,0.0,2.0,1.0,2,100
Water_Bodies,0.0,2.0,1.0,3,99
Water_Bodies,0.0,2.0,1.0,4,99
Water_Bodies,0.0,2.0,1.0,5,100
Water_Bodies,0.0,3.0,1.0,1,99
Water_Bodies,0.0,3.0,1.0,2,100
Water_Bodies,0.0,3.0,1.0,3,100
Water_Bodies,0.0,3.0,1.0,4,100
Water_Bodies,0.0,3.0,1.0,5,99
Water_Bodies,0.0,4.0,1.0,1,100
Water_Bodies,0.0,4.0,1.0,2,100
Water_Bodies,0.0,4.0,1.0,3,100
Water_Bodies,0.0,4.0,1.0,4,100
Water_Bodies,0.0,4.0,1.0,5,100
Water_Bodies,0.0,5.0,1.0,1,100
Water_Bodies,0.0,5.0,1.0,2,100
Water_Bodies,0.0,5.0,1.0,3,100
Water_Bodies,0.0,5.0,1.0,4,100
Water_Bodies,0.0,5.0,1.0,5,100
Water_Bodies,0.0,1.0,2.0,1,98
Water_Bodies,0.0,1.0,2.0,2,96
Water_Bodies,0.0,1.0,2.0,3,99
Water_Bodies,0.0,1.0,2.0,4,98
Water_Bodies,0.0,1.0,2.0,5,98
Water_Bodies,0.0,2.0,2.0,1,99
Water_Bodies,0.0,2.0,2.0,2,99
Water_Bodies,0.0,2.0,2.0,3,98
Water_Bodies,0.0,2.0,2.0,4,97
Water_Bodies,0.0,2.0,2.0,5,100
Water_Bodies,0.0,3.0,2.0,1,100
Water_Bodies,0.0,3.0,2.0,2,100
Water_Bodies,0.0,3.0,2.0,3,99
Water_Bodies,0.0,3.0,2.0,4,100
Water_Bodies,0.0,3.0,2.0,5,94
Water_Bodies,0.0,4.0,2.0,1,98
Water_Bodies,0.0,4.0,2.0,2,100
Water_Bodies,0.0,4.0,2.0,3,98
Water_Bodies,0.0,4.0,2.0,4,99
Water_Bodies,0.0,4.0,2.0,5,97
Water_Bodies,0.0,5.0,2.0,1,98
Water_Bodies,0.0,5.0,2.0,2,98
Water_Bodies,0.0,5.0,2.0,3,100
Water_Bodies,0.0,5.0,2.0,4,100
Water_Bodies,0.0,5.0,2.0,5,99
Water_Bodies,0.0,1.0,3.0,1,93
Water_Bodies,0.0,1.0,3.0,2,96
Water_Bodies,0.0,1.0,3.0,3,93
Water_Bodies,0.0,1.0,3.0,4,94
Water_Bodies,0.0,1.0,3.0,5,93
Water_Bodies,0.0,2.0,3.0,1,93
Water_Bodies,0.0,2.0,3.0,2,94
Water_Bodies,0.0,2.0,3.0,3,91
Water_Bodies,0.0,2.0,3.0,4,95
Water_Bodies,0.0,2.0,3.0,5,95
Water_Bodies,0.0,3.0,3.0,1,94
Water_Bodies,0.0,3.0,3.0,2,99
Water_Bodies,0.0,3.0,3.0,3,95
Water_Bodies,0.0,3.0,3.0,4,97
